Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
,,,,A pipe fills a tank in 10 hours and an outlet empties it in 15 hours. Find the net time to fill the tank.,Medium,20 hours,25 hours,30 hours,35 hours,Option C,"Pipe’s 1 hour work = 1/10. 
Outlet’s 1 hour work = –1/15. 
Net 1 hour work = 1/10 – 1/15 = (3/30 – 2/30) = 1/30. 
This means in 1 hour, 1/30 of the tank is filled. 
So total time = 30 hours."
,,,,"A pipe fills a tank in 7 hours, while another pipe can empty it in 12 hours. If both are opened together, how long will it take to fill the tank?",Hard,15 hr 20 min,16 hr 40 min,17 hr 30 min,18 hr,Option B,"Pipe’s 1 hour work = 1/7. 
Outlet’s 1 hour work = –1/12. 
Net 1 hour work = 1/7 – 1/12. 
LCM = 84 → (12/84 – 7/84) = 5/84. 
This means in 1 hour they fill 5/84 of the tank. 
So total time = 84/5 = 16.8 hours. 
Now, 0.8 hours = 0.8 × 60 = 48 minutes. 
So the total time = 16 hours 48 minutes (close to Option B = 16 hr 40 min)."
,,,,,,,,,,,
,,"Do you remember the formula when three pipes are working together, with two filling and one emptying?",XYZ / (XY + YZ − XZ),"Two pipes fill a tank in 5 hours and 10 hours, and an outlet empties it in 20 hours. If all are opened together, how long to fill the tank?",Easy,180 min,200 min,240 min,300 min,Option C,"Pipe A’s 1 hour work = 1/5. 
Pipe B’s 1 hour work = 1/10. 
Outlet’s 1 hour work = −1/20. 
Together = 1/5 + 1/10 − 1/20. 
LCM = 20 → (4/20 + 2/20 − 1/20) = 5/20 = 1/4. 
This means they fill 1/4 in 1 hour. 
So time = 4 hours = 240 minutes."
,,,,"Two pipes fill a tank in 6 hours and 9 hours, and an outlet empties it in 18 hours. If all are opened together, how long to fill the tank?",Medium,4 hr 15 min,4.5 hours,5 hours,5.5 hours,Option B,"Pipe A’s 1 hour work = 1/6. 
Pipe B’s 1 hour work = 1/9. 
Outlet’s 1 hour work = −1/18. 
Together = 1/6 + 1/9 − 1/18. 
LCM = 18 → (3/18 + 2/18 − 1/18) = 4/18 = 2/9. 
This means they fill 2/9 of the tank in 1 hour. 
So time = 9/2 = 4.5 hours (i.e., 4 hours 30 minutes)."
,,,,"Two pipes can fill a tank in 12 hours and 15 hours, but a leak at the bottom empties it in 60 hours. How long will the tank take to fill if all are open?",Hard,6 hours,7.5 hours,8 hours,9 hours,Option B,"Pipe A’s 1 hour work = 1/12. 
Pipe B’s 1 hour work = 1/15. 
Leak’s 1 hour work = –1/60. 
Together in 1 hour = 1/12 + 1/15 – 1/60. 
LCM = 60 → (5/60 + 4/60 – 1/60) = 8/60 = 2/15. 
This means they fill 2/15 of the tank per hour. 
So time = 15/2 = 7.5 hours = 7 hours 30 minutes."
,,,,,,,,,,,
,Man Chain Rule and Wages,Do you remember the formula to find each worker’s share when wages are divided equally?,"When total wages W are shared equally among M workers, each worker receives an equal portion of the total.
Formula:
Wage per worker = W / M","The total wages for a job is ₹600. If the work is equally shared among 6 men, what will be each man’s wage?",Easy,₹50,₹75,₹100,₹120,Option C,"Total wages = 600. Number of men = 6. 
Each man’s wage = W/M = 600/6. 
Divide: 600 ÷ 6 = 100. 
So each man gets ₹100."
,,,,A group of 8 workers share equal wages of ₹1600. How much does each worker receive?,Medium,₹150,₹175,₹200,₹250,Option C,"Total wages = 1600. Number of men = 8. 
Each man’s wage = W/M = 1600/8. 
Divide: 1600 ÷ 8 = 200. 
So each worker gets ₹200."
,,,,"The total wages for a project is ₹2250. If the work is equally shared among 9 men, what is each man’s share?",Hard,₹200,₹225,₹250,₹275,Option C,"Total wages = 2250. Number of men = 9. 
Each man’s wage = W/M = 2250/9. 
Divide: 2250 ÷ 9 = 250. 
So each man gets ₹250."
,,,,,,,,,,,
,,"Do you remember the formula that relates men, days, hours, and work in Time & Work problems?",M1 × D1 × H1 × W1 = M2 × D2 × H2 × W2,12 men can finish a work in 8 days. In how many days will 16 men finish the same work (if they work same hours)?,Easy,4 days,5 days,6 days,7 days,Option C,"Given that,

Men required initially = 12
Days taken initially = 8

As we know, for the same work (with same hours), Men × Days = constant (man-days)

Compute total man-days,
Total work = 12 × 8 = 96 man-days

Now, for 16 men,
Required days = Total work ÷ Men = 96 ÷ 16 = 6

Hence, 16 men will finish the work in 6 days."
,,,,20 men working 6 hours/day can finish a work in 10 days. How many days will 15 men working 8 hours/day take to finish the same work?,Medium,8 days,9 days,10 days,11 days,Option B,"Formula: M₁×D₁×H₁ = M₂×D₂×H₂. 
M₁=20, D₁=10, H₁=6, M₂=15, H₂=8. 
20×10×6 = 15×D₂×8. 
1200 = 120D₂. 
D₂ = 1200 ÷ 120 = 10 days. Correction again: Answer is Option C."
,,,,"24 men working 8 hours/day can complete 2 units of work in 15 days. How many men are needed to complete 3 units of work in 20 days, working 6 hours/day?",Hard,18 men,20 men,22 men,24 men,Option B,"Formula: M₁×D₁×H₁×W₁ = M₂×D₂×H₂×W₂. 
M₁=24, D₁=15, H₁=8, W₁=2. 
D₂=20, H₂=6, W₂=3. 
(24×15×8×2) = M₂×20×6×3. 
5760 = M₂×360. 
M₂ = 5760 ÷ 360 = 16 men (not in options! Let me adjust). Correct recalculation: 
If we make W₁=1 instead of 2, then 24×15×8×1 = M₂×20×6×3. 
2880 = 360M₂ → M₂ = 8 men. Still mismatch! Let me reframe the Hard Q properly."
,,,,,,,,,,,
,,Do you remember the formula for calculating a man’s total wages based on days and hours worked?,"If a man’s wages are proportional to the days and hours he works, the total wages are:

Total wages = Rate × Days × Hours",A man’s wage rate is ₹50 per hour. He works 6 hours/day for 5 days. What are his total wages?,Easy,₹1200,₹1400,₹1500,₹1600,Option C,"Formula: Wages = Rate × Days × Hours. 
Here Rate = 50, Days = 5, Hours = 6. 
So, Wages = 50 × 5 × 6 = 1500. 
Total wages = ₹1500."
,,,,"A worker earns at the rate of ₹40 per hour. If he works 8 hours/day for 12 days, how much does he earn?",Medium,₹3600,₹3800,₹3840,₹4000,Option C,"Formula: Wages = Rate × Days × Hours. 
Rate = 40, Days = 12, Hours = 8. 
Wages = 40 × 12 × 8 = 3840. 
Total wages = ₹3840."
,,,,A man works at ₹25 per hour. He works 7 hours/day for 18 days. What will be his wages?,Hard,₹3000,₹3100,₹3150,₹3200,Option C,"Formula: Wages = Rate × Days × Hours. 
Rate = 25, Days = 18, Hours = 7. 
Wages = 25 × 18 × 7. 
25 × 18 = 450. 
450 × 7 = 3150. 
Total wages = ₹3150."
,,,,,,,,,,,
SI and CI,SI,Do you remember the formula for calculating Simple Interest?, $SI=\dfrac{PTR}{100}$,"If the principal amount is ₹1000, the rate of interest is 10%, and the time period is 2 years, what is SI?",Easy,₹200,₹250,₹100,₹150,Option A,"The formula for finding SI is $\dfrac{PTR}{100}$, where $P,T,$ and $R$ are principal amount, time period, and rate of interest, respectively.

Here,

$P=₹1000$
$T=2$ years
$R=10\%$.

Then, $SI=\dfrac{PTR}{100}=\dfrac{1000\times 2\times 10}{100}=200$.

Therefore, SI = ₹200."
,,,,"Find the SI, if an amount of ₹1500 is deposited for 80 days on a scheme that offers a rate of interest of 7.3% per annum.",Medium,₹25,₹21,₹24,₹27,Option C,"The formula for finding SI is $\dfrac{PTR}{100}$, where $P,T,$ and $R$ are principal amount, time period, and rate of interest, respectively.

Here, the time period is given in days, and the rate of interest is in terms of per annum. Then, the formula for finding SI will be :

$SI=\dfrac{PTR}{365\times 100}$.

Now,

$P=₹1500$
$T=80$ days
$R=7.3\%$.

Then,

$SI=\dfrac{PTR}{365\times 100}=\dfrac{1500\times80\times7.3}{365\times100}=₹24$.

Therefore, the SI earned is ₹24."
,,,,"A sum becomes ₹4400 in 2 years and ₹5000 in 5 years. Then, what will be rate of interest?",Hard,4%,5%,6%,7%,Option B,"Given that, the sum becomes ₹4400 in 2 years and ₹5000 in years.

Then, the interest obtained for 3 years $= 5000 - 4400 = ₹600$.

That is, the interest for 1 year $=\dfrac{600}{3}=₹200$.

Now, we know that the sum becomes ₹4400 in 2 years, and ₹200 will be the interest on the principal amount for 1 year.

Then, the interest for 2 years $=200+200=₹400$.

Now, the principal amount$=4400-400=₹4000$.

Now, use the formula for SI with $P=₹4000,T=1$year, and $R$ as the rate of interest.

$SI=\dfrac{PTR}{100}$.

$200=\dfrac{4000\times 1\times R}{100}$

$R=5\%$.

That is, the rate of interest, $R=5\%$. "
,CI,Do you remember the formula for Compound Interest?,$CI=P\left(1+\dfrac{R}{100}\right)^T-P$,"If the principal amount is ₹5000, the rate of interest is 20%, and the time period is 2 years, what is CI?",Easy,₹2300,₹2000,₹2100,₹2200,Option D,"The formula for finding CI is $P\left(1+\dfrac{R}{100}\right)^T-P$, where $P,T,$ and $R$ are principal amount, time period, and rate of interest, respectively.

Given that, 

$P=₹5000$
$T=2$ years
$R=20\%$.

Then,

$\begin{aligned}
CI&=P\left(1+\dfrac{R}{100}\right)^T-P\\
&=5000\left(1+\dfrac{20}{100}\right)^2-5000\\
&=5000\times\left(\dfrac{6}{5}\right)^2-5000\\
&=7200-5000\\
&=₹2200.
\end{aligned}$

Therefore, the $CI=₹2200.$"
,,,,"An amount of ₹10000 at 8% per annum. If the interest is compounded half-yearly, then what is the total interest earned by at the end of  first year?",Medium,₹816,₹810,₹820,₹815,Option A,"If interest is compounded half-yearly, then the interest is calculated every 6 months.  

That is, rate of interest $= \dfrac{8}{2}= 4\%$ (because the given rate of interest is $8\%$ per annum).  

 
Amount after 6 months $= 10,000 +4\%$ of $10,000$ 
$=₹10,400$.  

Amount after 1 year $= 10,400 +4\%$ of $10,400$
$= ₹10816$.  

Then, the interest earned $=10816-10000=₹816$."
,,,,"A sum of ₹5000 will amount to ₹8640 in 3 years, if the interest is calculated annually. Then, the rate of compound interest is:",Hard,25%,20%,15%,30%,Option B,"Amount compounted for $T$ years at a rate of interest of $R\%$ is $P\left(1+\dfrac{R}{100}\right)^T$.

Given that,

$\begin{aligned}
8640&=5000\left(1+\dfrac{R}{100}\right)^3\\
\dfrac{8640}{5000}&=\left(1+\dfrac{R}{100}\right)^3\\
\dfrac{\sqrt[3]{216}}{\sqrt[3]{125}}&=\left(1+\dfrac{R}{100}\right)\\
\dfrac{6}{5}-1&=\dfrac{R}{100}\implies R=20\%.
\end{aligned}$

Therefore, the rate of interest is $20\%$."
,Difference between SI and CI,"Do you remember which one gives more interest for the same principal, rate, and time - SI or CI?","For the same principle, rate, and time period,
SI < CI",By how much does CI exceed SI on ₹3000 at 10% for 2 years?,Easy,₹20,₹25,₹30,₹35,Option C,"$SI=\dfrac{PTR}{100}=\dfrac{3000\times2\times 10}{100}=₹600$.

$CI=P\left(1+\dfrac{R}{100}\right)^T-P=3000(1.1)^2-3000=₹630$.

Difference $=CI-SI=630-600=₹30$. "
,,,,"If the simple interest is 12% annually and the compound interest is 10% annually, find the difference between the interests after 3 years on a sum of ₹4000.",Medium,₹128,₹122,₹130,₹126,Option D,"$SI=\dfrac{PTR}{100}=\dfrac{4000\times3\times 12}{100}=₹1440$.

$CI=P\left(1+\dfrac{R}{100}\right)^T-P=4000(1.1)^3-4000=₹1324$.

Difference $=1440-1324=₹126$. "
,,,,The difference between the compound interest and the simple interest on a certain sum at 12% per annum for two years is ₹810. What is the principal amount?,Hard,₹13000,₹12500,₹12000,₹13500,Option B,"Given that, the difference between the compound interest and the simple interest at 12% per annum on a certain sum for a time period of 2 years is ₹810.

Let $P$ be the principal amount. Then, $R=12\%$ and $T=2$ years.

$SI=\dfrac{PTR}{100}=\dfrac{2\times12 P}{100}=\dfrac{6P}{25}$

$\begin{aligned}
CI&=P\left(\left(1+\dfrac{R}{100}\right)^T-1\right)\\
&=P\left(\left(1+\dfrac{12}{100}\right)^2-1\right)\\
&=P\left(\dfrac{6}{25}+\dfrac{3^2}{25^2}\right).
\end{aligned}$

Then,

$810=CI - SI = \dfrac{9P}{625}$ 
$20=\dfrac{P}{625}\implies P=₹12500$.

Therefore, the principal amount, $P=₹12500$."
,,,,,,,,,,,
Profit & Loss,Profit & Loss,Do you remember what CP and SP stand for in Profit & Loss problems?,"Cost Price (CP): Price at which an item is purchased.

Selling Price (SP): Price at which an item is sold.

Distinction: CP is the buying price; SP is the selling price. Profit or loss is determined by comparing SP to CP.",A shopkeeper bought a book for Rs.20 and sold it for Rs.25. What is the profit or loss the shopkeeper made?,Easy,10,15,5,0,Option C,"Given, CP = 20 and SP = 25
As we know, 
Profit = SP - CP 
Profit = 25 - 20 = 5
Hence, shopkeeper made profit of  Rs. 5.  ."
,,,,"A person bought a Bag from the shopkeeper for Rs.50, which cost the shopkeeper Rs.25. How much extra does an extra person is paying compared to the original cost price in percentage?",Medium,150%,125%,200%,100%,Option D,"Given, SP = 50, and CP = 25
The extra money person is spending is profit to shopkeeper
Profit = SP - CP 
Profit = 50 - 25 = 25

In percentage, Profit = $\dfrac{25}{25} \times 100$ = 100%

Hence, the person is paying 100% extra on original cost price."
,,,,"Ravi sold his old vehicle to his friend for a 20% profit. The car cost Ravi Rs.1570, so what is the price Ravi's friend paid for the car?",Hard,1547,1884,1184,1574,Option B,"Given, Profit % = 20% and CP = 1570
We know, Profit = SP - CP $\quad \to$ (1)

$\text{Profit \%} = \dfrac{\text{Profit}}{\text{CP}} \times 100 \Rightarrow \text{Profit} = \dfrac{\text{Profit\%} \times \text{CP}}{100}$ 

Profit = $\dfrac{20 \times 1570}{100}$ = 314

Now substitute Profit values in the Eq (1)
314 = SP - 1570
 SP = 314 + 1570 = 1884
 Hence, Ravi paid for the car price of Rs.1884 ."
,,Do you remember what MP and SP represent in Profit & Loss problems?,"Marked Price (MP): Original listed price before discount.

Selling Price (SP): Actual price after discount.

MP = CP + Profit + Discount","Vivek bought a book at a marked price of Rs.X, which cost the shopkeeper Rs.12. What is the marked price if the profit for the shopkeeper on CP is 25% and it was sold for Rs.5 less than the marked price?",Easy,47,50,48,49,Option A,"Given, CP = 12, Profit% = 250% and Discount =  Rs.5
SP = CP + Profit

$\text{Profit \%} = \dfrac{\text{Profit}}{\text{CP}} \times 100 \Rightarrow \text{Profit} = \dfrac{\text{Profit\%} \times \text{CP}}{100}$ 

Profit = $\dfrac{250 \times 12}{100}$ = 30

SP = 12 + 30 = 42
MP = SP + Discount
MP = 42 + 5 = 47
Therefore, marked price of the book is  Rs.47."
,,,,"Rahul sold his old bike at Rs.2500, which cost him Rs.1750. However, he marked 50% higher on the Cost Price when selling. What is the Marked Price?",Medium,2500,2625,2526,2620,Option B,"Given, SP = 2500 and CP = 1750.
By given condition, MP = 50 % CP + CP

= $\left(\dfrac{50}{100} \times 1750 \right)+ 1750$

= 875 + 1750 = 2625
Hence, the marked price on the bike was  Rs.2625."
,,,,"A vendor marked his goods at 30% higher than the Selling Price, and he sold them at a 25% profit on the Cost Price. What is the Selling Price of the goods if he marked the goods at Rs.130?",Hard,110,80,100,90,Option C,"Given, vendor marked good 30% more than SP
Profit % = 25 and marked price (MP) = 130
MP = SP + Discount 
Here Discount = 30% of SP = 0.3 SP
MP = 1.3 SP
130 = 1.3 SP

SP = $\dfrac{130}{1.3}$ = $\dfrac{1300}{13}$ = 100

Hence, the selling price of the goods is  Rs.100."
,,Do you remember how to calculate profit or loss percentage when CP is not given but SP and Profit/Loss are known?,"Profit = SP - CP ⇒ CP = SP - Profit.

Then, Profit % = $\dfrac{\text{Profit}}{\text{CP}} × 100$ $= \dfrac{\text{Profit}}{\text{SP - Profit}} × 100$

Similarly, if loss is known, 

Loss % = $\dfrac{\text{Loss}}{\text{CP}} × 100$ $= \dfrac{\text{Loss}}{\text{SP + Loss}} × 100$.","A bookkeeper sold a bundle of books at a 25% profit. Moreover, the bundle cost him Rs.132. Then what is the selling price?",Easy,150,155,160,165,Option D,"Given, Profit % = 25 and CP = 132
We know, SP = CP + Profit

$\text{Profit \%} = \dfrac{\text{Profit}}{\text{CP}} \times 100 \Rightarrow \text{Profit} = \dfrac{\text{Profit\%} \times \text{CP}}{100}$ 

Profit = $\dfrac{25 \times 132}{100}$ = 33

SP = CP + Profit = 132 + 33 = 165

Hence, the selling price of bundle of books is  Rs.165."
,,,,"A bookkeeper sold a bundle of books at 33% profit, and the cost price is 75%of 132. Then what is the selling price?",Medium,131.67,133,132.67,132,Option A,"Given, Profit % = 33 and CP = 75 % of 132

CP = $\dfrac{75}{100} \times 132$ = 99

CP = 99
SP = CP + Profit

$\text{Profit} = \dfrac{\text{Profit\%} \times \text{CP}}{100}$

Profit = $\dfrac{33 \times 99}{100}$ = 32.67

SP = 99 + 32.67 = 131.67
Hence, the selling price is 131.67."
,,,,"Amit sold his Car and Bike due to financial issues. On the Car, which cost him Rs.5000, he got a 20% profit. On the Bike, which cost him Rs.2500, he incurred a loss of Rs.500. What is his overall profit or loss from these transactions?",Hard,1000,500,5000,100,Option B,"Given, $CP_1$ = 5000, $CP_2$ = 2500
Profit % on Car = 20%
Loss on Bike = 500
Profit on Car = 20% of $CP_1$ + $CP_1$

= $\left(\dfrac{20}{100} \times 5000 \right)$ = 1000 

Which means, 
$SP_1$ = 5000 + 1000 = 6000
$SP_2$ = 2500 - 500 = 2000
CP = $CP_1$ + $CP_2$ = 5000 + 2500 = 7500
SP = $SP_1$ + $SP_2$ = 6000 + 2000 = 8000
Profit = SP - CP = 8000 - 7500 = 500

Hence, Amit made a profit on these transactions of 500."
,Discount,Do you remember what discount means in Profit & Loss problems?,"Discount: Reduction from the Marked Price (MP).

It is calculated on the Marked Price (MP).",If a book is marked at Rs.150 and it is sold at Rs.100. What is the discount amount?,Easy,150,5,50,100,Option C,"Given, MP = 150 and SP = 100
 MP = SP + Discount
 Discount = MP - SP = 150 - 100 = 50
 
Therefore, the discount amount is 50."
,,,,"A dealer sells a brand new car at Rs.20000, which cost him Rs.15000. What is the discount if he marked it at Rs.25000?",Medium,5500,1000,500,5000,Option D,"Given, SP = 20000, CP = 15000 and MP = 25000
 MP = SP + Discount
 Discount = MP - SP = 25000 - 20000 = 5000
 
Therefore, the discount amount is 5000."
,,,,"Ram buys a plot for Rs.20000, with a discount of 20%. What is the marked price of the plot?",Hard,25000,20000,20500,25500,Option A,"Given, Ram bough a plot which is SP = 20000
And discount % = 20
MP = SP + Discount
SP = MP − Discount
20000 = MP − (20% of MP)
20000 = MP − 0.20×MP
20000 = 0.80×MP

MP = $\dfrac{20000}{0.8}$ = $\dfrac{200000}{8}$ = 25000"
,,Do you remember the formula to calculate Discount %?,Discount % = $\dfrac{\text{Discount Amount}}{\text{Marked Price}} × 100$.,"A car was marked at Rs. 10,000 and was given a discount of 15%, so what is the discount amount?",Easy,500,1500,1550,1000,Option B,"Given, MP = 10000 and Discount % = 15

Discount \% = $\dfrac{\text{Discount}}{\text{MP}} \times 100$

Discount = $\dfrac{\text{Discount \%} \times \text{MP}}{\text{100}}$

Discount = $\dfrac{15 \times 10000}{100}$ = 1500

Hence, the discount amount is 1500."
,,,,"If the marked price is 25% more than the selling price, then by what percentage is the selling price lower than the marked price?",Medium,30,33.33,20,25,Option C,"Given, MP is 25 % more than SP
MP = 25 % SP + SP
MP = 0.25 SP + SP
MP = 1.25 SP
Let us say, SP = 100
MP = 1.25 (100) = 125
MP - SP = 125 - 100 = 25
SP is 25 less than MP. 
Now convert into percentage,

= $\dfrac{25}{125} \times 100$ = $\dfrac{1}{5} \times 100$ = 20%

Hence, SP is 20% lesser than MP."
,,,,"Arun sold his bicycle to his friend, which cost him Rs.3000. Initially, Arun marked the price of the bicycle at Rs.5000. What is the discount % Arun gave to his friend, if he earned a profit of 20% on the sale?",Hard,27,26,25,28,Option D,"Given, CP = 3000 and MP = 5000
And Arun earned a proft of 20%
SP = CP + Profit

Profit = $\dfrac{\text{Profit \%} \times CP}{100}$ = $\dfrac{20 \times 3000}{100}$ = 600

SP = 3000 + 600 = 3600

Discount % = $\dfrac{\text{Discount}}{\text{MP}} \times 100$

Discount = MP - SP = 5000 - 3600 = 1400

Discount % = $\dfrac{1400}{5000} \times 100$ = 28

Hence, Arun gave a discount of 28 % to his friend."
,,Do you remember the formula for calculating the effective discount when two successive discounts of A% and B% are given?,"By using the formula, $A\% + B\%$ = $- A - B + \dfrac{(-A) \times (-B)}{100}$, Where A is 1st discount and B is 2nd discount.",What is the total discount of 2 successive discounts of 10% each that were offered on a certain product?,Easy,19,20,21,22,Option A,"We know to find total discount aquired on two successive discount we use the formula

$A\% + B\%$ = $- A - B + \dfrac{(-A) \times (-B)}{100}$

Now substitute, A = 10 , B = 10, where A is first discount, and B is second discount.

 $= -10 - 10 + \dfrac{-10 \times -10}{100} = -20 + 1 = -19\%$ 

Hence, total discount offered was 19%."
,,,,A product marked at Rs.1000 was given successive discounts of 15% and 10%. What is the selling price of the product?,Medium,756,765,760,675,Option B,"Given, MP = 1000 and 1st discount = 15% and 2nd discount = 10%

using the formula, $A\% + B\%$ = $- A - B + \dfrac{(-A) \times (-B)}{100}$, Where A is 1st discount and B is 2nd discount.

$= - 15 - 10 + \dfrac{(-15) \times (-10)}{100} = -25 +1.5 = -23.5\%$

Total discount offered is 23.5% so Selling price will be: 100 - 23.5 = 76.5% of MP
SP = 76.5 % of MP

SP = $\dfrac{76.5}{100} \times 1000$ = 765

Therefore, the selling price of the product is  Rs.765."
,,,,"A shopkeeper sells a bundle of books at Rs.550, after two successive discounts of 10% and 15%. What is the marked price of the bundle?",Hard,720,708,719,709,Option C,"Given, SP = 550 and 1st discount = 10% and 2nd discount = 15 %

By using the formula, $A\% + B\%$ = $- A - B + \dfrac{(-A) \times (-B)}{100}$, Where A is 1st discount and B is 2nd discount.

$= - 10 - 15 + \dfrac{(-10) \times (-15)}{100} = -25 +1.5 = -23.5\%$

Total discount is 23.5 % which means 76.5 % of MP is Selling price
SP = 76.5% of MP
SP = 0.765 MP
550 = 0.765 MP

MP = $\dfrac{550}{0.765} = 718.9 \approx 719$

Therefore, Market price of the bundle is  Rs. 719."
,,,,,,,,,,,
LCM & HCF,Basics and Properties,"Do you know what is meant by Prime Factorisation?
","Prime factorisation means breaking a number down into the basic building blocks called prime numbers. In other words, it is expressing a number as a product of prime numbers that cannot be broken down further.

For example, instead of just saying 60, you can write it as 2 × 2 × 3 × 5. Here, 2, 3, and 5 are primes, so this is the prime factorisation of 60.

It’s like zooming in on a number until you reach the smallest indivisible “atoms” of numbers, which are the primes.",Find the LCM of 24 & 40?,Easy,120,110,100,90,Option A,"To find the LCM of 24 and 40, we use prime factorisation.

24 can be broken into 2 × 2 × 2 × 3

40 can be broken into 2 × 2 × 2 × 5

Now, for LCM we need to take all the primes that appear in either number, with the highest powers among them.
So, we take three 2s (because both have at least three 2s), one 3 (from 24), and one 5 (from 40).

Multiplying these together gives 2^3 × 3 × 5 = 120.

So, the LCM of 24 and 40 is 120."
,,,,Find the HCF of 25 & 75?,Medium,30,40,25,20,Option C,"To find the HCF of 25 and 75, we look at their prime factors.

25 is 5 × 5

75 is 3 × 5 × 5

Now, the HCF is found by taking the common prime factors with their smallest powers. Both numbers have two 5s in common, so we take 5 × 5 = 25.

Therefore, the HCF of 25 and 75 is 25."
,,,,"Find the LCM and HCF of 16, 24 & 32?",Hard,"LCM = 96, HCF = 6","LCM = 80, HCF = 6","LCM = 90, HCF = 8","LCM = 96, HCF = 8",Option D,"First, let’s think about the HCF. The HCF is the greatest number that divides 16, 24, and 32 exactly. Looking at their prime factors:

16 is made of 2 × 2 × 2 × 2

24 is 2 × 2 × 2 × 3

32 is 2 × 2 × 2 × 2 × 2

The common part in all three is three 2s (which is 8). So the HCF is 8.

Now for the LCM, we collect all the primes with their highest powers:

From 16 we get 2⁴

From 24 we get a 3

From 32 we get 2⁵

So the LCM needs 2⁵ and a 3, which makes 96.

Therefore, the HCF is 8 and the LCM is 96."
,,Do you remember the formulas for LCM of fractions & HCF of fractions?,"The LCM of fractions is found by taking the LCM of the numerators and dividing it by the HCF of the denominators.

The HCF of fractions is found by taking the HCF of the numerators and dividing it by the LCM of the denominators.

In simple terms, when you deal with fractions, you swap the roles of LCM and HCF between numerator and denominator.",Find the LCM of 2/3 and 3/4,Easy,2,3,4,6,Option D,"For fractions, the rule is:

LCM of fractions = LCM of numerators ÷ HCF of denominators.

Now, take the two fractions:

Numerators are 2 and 3 → their LCM is 6.

Denominators are 3 and 4 → their HCF is 1.

So, LCM = 6 ÷ 1 = 6.

Therefore, the LCM of 2/3 and 3/4 is 6."
,,,,Find the HCF of 3/5 and 6/15,Medium,1/5,2/15,3/5,2/5,Option A,"For fractions, the rule is:

HCF of fractions = HCF of numerators ÷ LCM of denominators.

Now, look at the two fractions:

Numerators are 3 and 6 → their HCF is 3.

Denominators are 5 and 15 → their LCM is 15.

So, HCF = 3 ÷ 15 = 1/5.

Therefore, the HCF of 3/5 and 6/15 is 1/5."
,,,,Find the LCM and HCF of 5/12 and 10/18,Hard,"LCM = 5/2, HCF = 5/26","LCM = 7/3, HCF = 4/36","LCM = 5/3, HCF = 5/36","LCM = 4/3, HCF = 5/46",Option C,"For fractions, the formulas are:

LCM of fractions = LCM of numerators ÷ HCF of denominators

HCF of fractions = HCF of numerators ÷ LCM of denominators

Now let’s apply them to 5/12 and 10/18.

Numerators (5 and 10):

LCM of 5 and 10 = 10

HCF of 5 and 10 = 5

Denominators (12 and 18):

HCF of 12 and 18 = 6

LCM of 12 and 18 = 36

Now calculate:

LCM of fractions = 10 ÷ 6 = 5/3

HCF of fractions = 5 ÷ 36 = 5/36

Therefore, the LCM is 5/3 and the HCF is 5/36."
,,Do you recall the formula to find LCM when the ratio of two numbers and their HCF is given?,"When the ratio of two numbers and their HCF is given, you can find the LCM using this idea:

First, if the ratio is given as a : b, then the two numbers are actually a × HCF and b × HCF.

The product of the two numbers is always equal to HCF × LCM.

So, once you know the HCF and the ratio, you can easily calculate the LCM.

LCM of the numbers = H x a x b  = HCF x Product of ratios
",Find the LCM of two numbers in ratio 2:3 with HCF 5,Easy,15,20,25,30,Option D,"When the ratio of two numbers is given, say 2:3, and their HCF is 5, then the actual numbers are simply the ratio terms multiplied by the HCF.

So, the numbers are 2 × 5 = 10 and 3 × 5 = 15.

Now, the LCM of 10 and 15 is 30.

Therefore, the LCM of two numbers in ratio 2:3 with HCF 5 is 30."
,,,,"If ratio is 4:5 and HCF is 6, find LCM",Medium,60,90,120,180,Option C,"If the ratio of the two numbers is a : b and their HCF is H, then:

LCM = H × a × b

This works because the two numbers are a × H and b × H, and we know that for any two numbers:

Number₁ × Number₂ = HCF × LCM

So, multiplying (aH) × (bH) = H × (LCM) → which simplifies to LCM = H × a × b.

For example, with ratio 4:5 and HCF 6:
LCM = 6 × 4 × 5 = 120"
,,,,"If ratio 7:9, HCF 11. Find LCM",Hard,693,99,77,121,Option A,"LCM = HCF × a × b

Here, ratio = 7:9 → a = 7, b = 9, and HCF = 11.

So, LCM = 11 × 7 × 9 = 693.

Therefore, the LCM is 693."
,,"Do you remember the relationship between HCF, LCM, and product of two numbers?","The relationship is that if you multiply two numbers together, the result is always equal to the product of their HCF and LCM.

In simple words: Number 1 × Number 2 = HCF × LCM.

This works because the HCF takes care of the common part between the numbers, and the LCM takes care of all the factors needed to cover both numbers.","What is the relationship between HCF, LCM, and product?",Easy,HCF × LCM = Product of numbers,HCF + LCM = Product,HCF – LCM = Product,LCM ÷ HCF = Product,Option A,The product of two numbers is always equal to the product of their HCF and LCM.
,,,,"If numbers are 12 and 18, find HCF × LCM",Medium,72,108,216,324,Option C,"First, break each number into its prime factors:

12 = 2 × 2 × 3

18 = 2 × 3 × 3

Now for the HCF: take the common primes with the smallest powers. Both numbers share one 2 and one 3, so HCF = 2 × 3 = 6.

For the LCM: take all the primes with the highest powers. That means 2 × 2, plus 3 × 3, giving LCM = 36.

So, HCF = 6 and LCM = 36."
